15.26;3.312;1
14.88;3.333;1
14.29;3.337;1
13.84;3.379;1
16.14;3.562;1
14.38;3.312;1
14.69;3.259;1
14.11;3.302;1
16.63;3.465;1
16.44;3.505;1
15.26;3.242;1
14.03;3.201;1
13.89;3.199;1
13.78;3.156;1
13.74;3.114;1
14.59;3.333;1
13.99;3.383;1
15.69;3.514;1
12.72;3.049;1
14.16;3.129;1
14.11;3.168;1
15.88;3.507;1
12.08;2.936;1
15.01;3.245;1
16.19;3.421;1
13.02;3.026;1
12.74;2.956;1
14.11;3.221;1
13.45;3.065;1
13.16;2.975;1
15.49;3.371;1
14.09;3.186;1
15.05;3.328;1
16.12;3.485;1
17.08;3.683;1
14.28;3.298;1
13.54;3.156;1
13.16;3.201;1
15.11;3.462;1
15.36;3.393;1
14.99;3.377;1
14.79;3.291;1
14.86;3.258;1
14.43;3.272;1
15.78;3.434;1
14.49;3.113;1
14.33;3.199;1
14.52;3.113;1
15.03;3.212;1
14.46;3.377;1
14.92;3.412;1
15.38;3.419;1
12.11;3.032;1
11.23;2.879;1
12.36;3.042;1
12.78;3.026;1
12.88;3.119;1
14.01;3.158;1
14.37;3.153;1
12.73;2.882;1
17.63;3.561;2
16.84;3.484;2
17.26;3.594;2
16.82;3.486;2
16.77;3.438;2
17.32;3.403;2
20.71;3.814;2
18.94;3.639;2
17.12;3.566;2
16.53;3.467;2
18.72;3.857;2
19.57;3.772;2
19.51;3.801;2
18.27;3.651;2
18.88;3.764;2
21.18;4.033;2
20.88;4.032;2
18.76;3.796;2
18.81;3.693;2
18.36;3.485;2
16.87;3.463;2
18.98;3.552;2
18.17;3.512;2
18.72;3.684;2
16.41;3.525;2
17.99;3.694;2
19.46;3.892;2
19.18;3.681;2
18.95;3.755;2
18.83;3.786;2
18.85;3.806;2
17.63;3.573;2
19.94;3.763;2
18.55;3.674;2
18.45;3.769;2
19.38;3.791;2
19.13;3.902;2
19.14;3.737;2
20.97;3.991;2
19.06;3.719;2
18.96;3.897;2
19.15;3.815;2
18.89;3.769;2
20.03;3.857;2
20.24;3.962;2
18.14;3.563;2
16.17;3.387;2
18.43;3.771;2
15.99;3.582;2
18.75;3.869;2
18.65;3.594;2
17.98;3.687;2
20.16;3.773;2
18.94;3.825;2
15.38;3.268;2
16.16;3.395;2
15.56;3.408;2
15.38;3.465;2
17.36;3.574;2
15.57;3.231;2
16.23;3.472;2
13.07;2.994;3
13.32;3.073;3
13.34;3.074;3
12.22;2.967;3
11.82;2.777;3
11.21;2.687;3
11.43;2.719;3
12.49;2.967;3
10.79;2.648;3
12.01;2.776;3
12.26;2.833;3
11.18;2.693;3
11.36;2.755;3
11.19;2.675;3
11.34;2.849;3
12.13;2.745;3
11.75;2.678;3
11.49;2.695;3
12.54;2.879;3
12.05;2.847;3
12.55;2.968;3
11.14;2.794;3
12.44;2.897;3
12.15;2.837;3
11.35;2.668;3
11.24;2.715;3
11.02;2.701;3
11.55;2.845;3
11.27;2.763;3
10.83;2.641;3
10.74;2.642;3
11.48;2.758;3
12.21;2.893;3
11.41;2.775;3
12.46;3.017;3
12.19;2.909;3
12.89;3.026;3
11.56;2.683;3
11.81;2.716;3
10.91;2.675;3
11.23;2.821;3
10.59;2.787;3
10.93;2.717;3
11.27;2.804;3
11.87;2.953;3
12.11;2.975;3
12.79;3.054;3
13.37;3.128;3
12.62;2.911;3
12.76;3.155;3
12.38;2.989;3
12.67;3.135;3
12.19;2.981;3
11.23;2.795;3
11.84;2.836;3
